filename,student_id,grade
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,01277,C
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,16654,F
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,16663,F
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,16984,F
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,16985,D
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,16988,F
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,17001,F
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,17004,F
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,17020,C
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,17029,B
IEAP-P Final Grades - 8 July 2024_240708E-T3AE,17030,F
