filename,student_id,grade
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,06687,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,11518,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,13817,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,15643,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16001,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16115,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16123,A
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16128,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16137,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16144,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16145,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16154,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16155,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16165,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16190,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16192,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16193,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16194,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16200,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16208,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16217,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16224,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16225,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16266,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16308,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16312,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16313,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16334,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16391,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16392,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16400,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16401,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16403,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16415,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16427,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16453,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16480,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16481,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16482,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16483,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16484,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16494,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16502,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16515,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16518,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16526,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16647,C
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16660,A
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16668,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16673,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16677,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16683,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16686,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16709,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16723,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16731,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16732,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16734,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16735,B
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16742,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16745,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16746,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16750,F
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16756,A
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16757,D
IEAP-B Final Grades - 03 April 2024 (A)_240403E-T2AE,16770,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,06687,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,11518,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,13817,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,15643,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16001,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16115,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16123,A
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16128,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16137,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16144,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16145,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16154,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16155,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16165,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16190,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16192,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16193,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16194,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16200,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16208,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16217,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16224,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16225,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16266,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16308,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16312,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16313,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16334,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16391,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16392,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16400,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16401,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16403,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16415,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16427,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16453,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16480,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16481,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16482,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16483,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16484,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16494,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16502,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16515,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16518,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16526,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16647,C
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16660,A
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16668,F
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16673,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16677,D
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16683,B
IEAP-B - Final Results - 03 April 2024 (A)_240403E-T2AE,16686,F
