filename,student_id,grade
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,15332,C
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,15701,C
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,15707,B
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,15761,C
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,15923,B
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,15930,C
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,15943,B
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16001,F
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16004,A
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16020,F
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16220,F
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16236,A
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16300,A
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16348,C
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16445,C
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16450,F
GESL-2 Final Grades - 9 Jan 2024_240109E-T1AE,16513,B
GESL-2 Final Grades_240109E-T1AE,15332,C
GESL-2 Final Grades_240109E-T1AE,15701,C
GESL-2 Final Grades_240109E-T1AE,15707,B
GESL-2 Final Grades_240109E-T1AE,15761,C
GESL-2 Final Grades_240109E-T1AE,15923,B
GESL-2 Final Grades_240109E-T1AE,15930,C
GESL-2 Final Grades_240109E-T1AE,15943,B
GESL-2 Final Grades_240109E-T1AE,16001,F
GESL-2 Final Grades_240109E-T1AE,16004,A
GESL-2 Final Grades_240109E-T1AE,16020,F
GESL-2 Final Grades_240109E-T1AE,16220,F
GESL-2 Final Grades_240109E-T1AE,16236,A
GESL-2 Final Grades_240109E-T1AE,16300,A
GESL-2 Final Grades_240109E-T1AE,16348,C
GESL-2 Final Grades_240109E-T1AE,16445,C
GESL-2 Final Grades_240109E-T1AE,16450,F
GESL-2 Final Grades_240109E-T1AE,16513,B
